building_id,canonical_name,alias
4,Jupiter,Jupiter Apartment
13,Link Garden,Link Garden Tower
14,Moongipa Arcade,Moongipa Arcade
16,Remi Commercio,Remi Commercio
17,Lumiere,The Lumiere
17,Lumiere,Lumiere
17,Lumiere,Lumiere Tower
69,Green Woods,Greenwoods CHS
73,Hub Town Solaris,Hubtown Solaris
83,Kanakia Atrium,Kanakia Atrium 215
84,Kanakia Rain Forest,Kanakia Rainforest
106,Oberoi Garden,Oberoi Garden Estate
109,Oberoi Splendor,Oberoi Splendor Grande
123,Riverdale Tower,Riverdale Towers
134,Sheth Vasant Oasis Jolan,Sheth Vasant Oasis Jolan Tower 14
152,Kollage,The Kollage
153,Time Square,Times Square
167,Wellington Business Park 1,Wellington Business Park 2
176,Aashirwad,Aashirwad
176,Aashirwad,Aashirwad CHS
177,Aashiyana,Aashiyana Apartment
184,Adani Inspire,Adani Inspire Hub
187,Aditya,Aditya Apartment
205,Ankita,Ankita Building
214,Arshi Complex,Arshie Complex
216,Ashirwad,Ashirwad Apartment
216,Ashirwad,Ashirwad Tower
218,Ashiyana,Ashiyana CHS
219,Ashtavinayak CHS,Astavinayak
220,Aston,Aston
221,Atlantis,Atlantis Apartment
233,Beverley Hills,Beverly Hills
243,Brighton Tower,Brighton Towers
258,Chitralekha Haritage,Chitralekha Heritage
263,Clifton,Clifton Apartment
267,Cosmopolis,Cosmopolis Tower
269,Cosmos Plaza,Cosmos Plazza
272,Crescent Royal,Crescent Royale
282,DLH Dream,DLH Dream Tower
286,DLH Leo,DLH Leo
288,DLH Metro View,DLH Metroview
297,Deep Apartment,Deep Chs
297,Deep Apartment,Deep Tower
300,Denzil,Denzil CHS
326,Evershine Green Tower,Evershine Greens
329,Excellency,Excellency Apartment
331,Fair Link Centre,Fairlink Centre
339,Garden View,Garden View CHS
349,Golden Chamber,Golden Chambers
363,Green Tower,Green Tower
372,Gurukrupa Dhayanam,Gurukrupa Dhyanam
378,Hibiscus Apartment,Hibiscus Apt
384,Hubtown Premier,Hubtown Premiere
384,Hubtown Premier,Hubtown Premiere Residences
384,Hubtown Premier,Hubtown Premiere Residence
386,Indra Darshan,Indradarshan
389,Infinia Grand,Infinia Grande
396,Janaki Centre,Janki Centre
416,Kanchanganga,Kanchanganga Building
425,Kingston Apartment,Kingston
426,Kohinoor,Kohinoor 2
432,Landmark,Landmark
437,Lashkaria Green Heights,Lashkarya Green Heights
445,Leela Sagar,Leela Sagar CHS
467,Madhuban Tower,Madhuban Tower
468,Madhuvan,Madhuvan Tower
471,Mahalaxmi Tower,Mahalaxmi Tower
478,Manju Tower,Manju Tower
489,Meera,Meera Tower
490,Meghdoot,Meghdoot Tower
493,Millenium Court,Millennium Court
502,Monisha,Monisha Tower
510,Morya Landmark I,Morya Landmark II
525,Neptune Apartment,Neptune Chs
525,Neptune Apartment,Neptune Apartments
527,New Chandra,New Chandra CHS
538,Oberoi Sky Heights,Oberoi Skyheights
539,Oberoi Spring,Oberoi Springs
541,Olympic Tower,Olympic Tower
550,Palash Tower,Palash Tower
552,Panchmukhi,Panchmukhi Building
553,Panchsheel,Panchsheel Apartment
553,Panchsheel,Panchsheel CHS
557,Paradigm Antalia,Paradigm Antaliya
574,Peninsula Park,Peninsular Park
576,Platinium Casa Divine,Platinum Casa Divine
577,Platinum Casa Millenia,Platinum Casa Millennia
584,Platinum Tower,Platinum
593,Prim Rose,Prim Rose Tower
601,Raheja Classique,Raheja Classique
606,Raj Kamal Apartment,Raj Kamal CHS
618,Remi Biz Court,Remi Bizcourt
639,Rukmini Vaibhav,Rukmini Vaibhav Apartment
639,Rukmini Vaibhav,Rukmini Vaibhav CHS
644,Rushi Tower,Rushi Tower
649,Sagar Shrot,Sagar Shrot Building
658,Samarth Deep,Samartha Deep
670,Santosh Tower,Santosh Towers
671,Swapna Residency,Sapna Residency
675,Saujanya Rachanaa,Saujanya Rachnaa
678,Sea Bird,Sea Bird Building
688,Shanti Tower,Shanti Towers
700,Shiv Shivam Tower,Shiv Shivam Towers
716,Silver Sand,Silver Sands
722,Sneha,Sneha Building
728,Sterling,Sterling Apartment
728,Sterling,Sterling Tower
729,Suman,Suman Tower
734,Sunil Niwas,Sunil Niwas Tower
747,Sweet Home,Sweet Homes
754,Gateway,The Gateway
755,Level Residence,The Level Residence
756,Nest,The Nest
757,Park,The Park
