building_id,landmark_id,distance_m,walking_min,building_name,landmark_name
873,LM-013,76,1,12 Pegasus,NSE (National Stock Exchange)
874,LM-013,76,1,Address 51,NSE (National Stock Exchange)
875,LM-013,76,1,Agami Eternity,NSE (National Stock Exchange)
876,LM-013,76,1,Agami Legend,NSE (National Stock Exchange)
877,LM-013,76,1,Antariksh,NSE (National Stock Exchange)
878,LM-013,76,1,Antariksh Ace,NSE (National Stock Exchange)
879,LM-013,76,1,Arista,NSE (National Stock Exchange)
880,LM-013,76,1,Arista Prime,NSE (National Stock Exchange)
881,LM-013,76,1,Azzure,NSE (National Stock Exchange)
882,LM-013,76,1,BKC 28,NSE (National Stock Exchange)
883,LM-013,76,1,Bandra North,NSE (National Stock Exchange)
884,LM-013,76,1,Buena Vista,NSE (National Stock Exchange)
885,LM-013,76,1,Fifty One East,NSE (National Stock Exchange)
886,LM-013,76,1,Geetanjali Apartment,NSE (National Stock Exchange)
887,LM-013,76,1,Gurukrupa Nirmalam,NSE (National Stock Exchange)
888,LM-013,76,1,Hallmark Business Plaza,NSE (National Stock Exchange)
889,LM-013,76,1,Hubtown Sunstone,NSE (National Stock Exchange)
890,LM-013,76,1,Jade Gardens,NSE (National Stock Exchange)
891,LM-013,76,1,Jagat Vidya,NSE (National Stock Exchange)
892,LM-013,76,1,Kalpataru Magnus,NSE (National Stock Exchange)
893,LM-013,76,1,Kalpataru Sparkle,NSE (National Stock Exchange)
894,LM-013,76,1,Kanakia Paris,NSE (National Stock Exchange)
895,LM-013,76,1,Keshava,NSE (National Stock Exchange)
896,LM-013,76,1,Mitra Parivaar,NSE (National Stock Exchange)
897,LM-013,76,1,Monarch,NSE (National Stock Exchange)
898,LM-013,76,1,Naman,NSE (National Stock Exchange)
899,LM-013,76,1,Nyay Sagar,NSE (National Stock Exchange)
900,LM-013,76,1,Parinee Crescenzo,NSE (National Stock Exchange)
901,LM-013,76,1,Pinnacle Corporate Park,NSE (National Stock Exchange)
902,LM-013,76,1,RNA Azzure,NSE (National Stock Exchange)
903,LM-013,76,1,Ramaa Krishna,NSE (National Stock Exchange)
904,LM-013,76,1,Rustomjee Cleon,NSE (National Stock Exchange)
905,LM-013,76,1,Rustomjee Erika,NSE (National Stock Exchange)
906,LM-013,76,1,Rustomjee Oriana,NSE (National Stock Exchange)
907,LM-013,76,1,Rustomjee Prive,NSE (National Stock Exchange)
908,LM-013,76,1,Rustomjee Seasons,NSE (National Stock Exchange)
909,LM-013,76,1,Rustomjee Stella,NSE (National Stock Exchange)
910,LM-013,76,1,Sangam Nero,NSE (National Stock Exchange)
911,LM-013,76,1,Serendipity,NSE (National Stock Exchange)
912,LM-013,76,1,Sethia Grandeur,NSE (National Stock Exchange)
913,LM-013,76,1,Shakti Sadan,NSE (National Stock Exchange)
914,LM-013,76,1,Shapoorji Pallonji,NSE (National Stock Exchange)
915,LM-013,76,1,Signature Island,NSE (National Stock Exchange)
916,LM-013,76,1,Signia Isles,NSE (National Stock Exchange)
917,LM-013,76,1,Signia Pearl,NSE (National Stock Exchange)
918,LM-013,76,1,Sunteck Pearl,NSE (National Stock Exchange)
919,LM-013,76,1,Address By GS,NSE (National Stock Exchange)
920,LM-013,76,1,Trade Centre,NSE (National Stock Exchange)
921,LM-013,76,1,Vaibhav Chambers,NSE (National Stock Exchange)
922,LM-013,76,1,Vaibhav Chember,NSE (National Stock Exchange)
923,LM-013,76,1,Vaibhavlaxmi,NSE (National Stock Exchange)
924,LM-013,76,1,Vaibhavlaxmi Address51,NSE (National Stock Exchange)
925,LM-013,76,1,Wahedna Apartment,NSE (National Stock Exchange)
926,LM-013,76,1,X BKC,NSE (National Stock Exchange)
840,LM-008,78,1,Aquarius Tower,Bandra Station
841,LM-008,78,1,Bandstand Apartment,Bandra Station
842,LM-008,78,1,Continental Tower,Bandra Station
843,LM-008,78,1,Crystal Plaza,Bandra Station
844,LM-008,78,1,DLH Signature,Bandra Station
845,LM-008,78,1,Dakshin Pali,Bandra Station
846,LM-008,78,1,Deeraj Devika,Bandra Station
847,LM-008,78,1,Dheeraj Swapna,Bandra Station
848,LM-008,78,1,Ekta Everglades,Bandra Station
849,LM-008,78,1,Elisha Apartment,Bandra Station
850,LM-008,78,1,Eternity,Bandra Station
851,LM-008,78,1,Fortune Heights,Bandra Station
852,LM-008,78,1,G Block,Bandra Station
853,LM-008,78,1,Hicon Classes,Bandra Station
854,LM-008,78,1,Hicon Residency,Bandra Station
855,LM-008,78,1,Joanna Villa,Bandra Station
