developer_name,project_count,project_ids,building_ids,resolved_buildings
AMIT C THAKUR,1,6,2488,1
Divij Developers,1,8,2014,1
DESIGN DEVELOPERS PRIVATE LIMITED,1,9,2646,1
SHIVNERI DEVELOPERS ASHTI,1,10,3475,1
Shilp Constructions,1,12,2344,1
A G SUPERSTRUCTURES PVT LTD,1,14,1568,1
VISHAL SANJAY GALANDE,1,18,267,1
Provenance Land Private Limited,1,26,4215,1
TECTON BUILDERS AND DEVELOPERS PVT LTD,1,29,2620,1
BHAVIN HEMANTKUMAR BHARATIA,1,37,2616,1
D.G.BUILDERS,1,39,3384,1
SARVESHWAR ASSOCIATES,1,43,606,1
MALKANI PROPERTIES,1,47,3839,1
S RAAJ ASSOCIATES,1,50,2981,1
