rera_no,project_name,promoter,location,district,pincode,state,last_modified,source
P50500000005,GREEN CITY 3,GREEN SPACE INFRA VENTURES,Nagpur (Rural),Nagpur,441108,MAHARASHTRA,2017-05-20,maharera
P51700000002,UNNATHI WOODS PHASE VII A,UNNATHI ESTATES,Thane,Thane,400615,MAHARASHTRA,2018-04-12,maharera
P51700000001,MAYFAIR VISHWARAJA,MAYFAIR HOUSING PRIVATE LIMITED,Kalyan,Thane,421605,MAHARASHTRA,2017-05-09,maharera
P51700002065,MERIDIAN MYSTIC,MANOJ  AWASTHI,Thane,Thane,400706,MAHARASHTRA,2019-01-04,maharera
P51500011537,SAINATHVILLA Phase II,Sainath Builders & Developers,Aurangabad,Aurangabad,431001,MAHARASHTRA,2017-08-31,maharera
P52100012200,NANDHA RESIDENCY,AMIT C THAKUR,Haveli,Pune,412202,MAHARASHTRA,2017-09-01,maharera
P50500002280,SHIVAM PARK,SAMBHAV INFRA,Nagpur (Rural),Nagpur,441108,MAHARASHTRA,2017-07-31,maharera
P51800002451,VIKI HEIGHTS,Divij Developers,Kurla,Mumbai Suburban,400077,MAHARASHTRA,2019-02-01,maharera
P50500000348,ROYAL RESIDENCY,DESIGN DEVELOPERS PRIVATE LIMITED,Nagpur (Urban),Nagpur,440015,MAHARASHTRA,2017-07-15,maharera
P52300000176,SHIVNERI APPARTMENT,SHIVNERI DEVELOPERS ASHTI,Ashti,Beed,414203,MAHARASHTRA,2017-07-10,maharera
P50500001314,Diamond One,Diamond Estate Builders & Developers,Nagpur (Urban),Nagpur,440010,MAHARASHTRA,2017-07-27,maharera
P51500001870,AANAND SHILP APARTMENT,Shilp Constructions,Aurangabad,Aurangabad,431001,MAHARASHTRA,2017-07-29,maharera
P52100006356,Immense Heights,Immense Realty,Mawal,Pune,410506,MAHARASHTRA,2017-08-14,maharera
P51700001636,SAMRIDDHI,A G SUPERSTRUCTURES PVT LTD,Thane,Thane,401105,MAHARASHTRA,2021-09-09,maharera
P51600000394,Sharvari Serenity,SHARVARI REALTORS LLP,Igatpuri,Nashik,422403,MAHARASHTRA,2021-11-02,maharera
P52400000234,Dwarka Nagari,Dwarka Nagari,Latur,Latur,413512,MAHARASHTRA,2017-07-10,maharera
P51800001311,Shri Krishna Kunj CHS Ltd,Ellora Developers,Andheri,Mumbai Suburban,400060,MAHARASHTRA,2017-07-27,maharera
P52100001149,THE COSMOPOLIS,VISHAL SANJAY GALANDE,Haveli,Pune,411028,MAHARASHTRA,2020-06-17,maharera
P50500006086,PLATINUM GREEN,UNNATI HOMES INFRACON,Nagpur (Urban),Nagpur,440036,MAHARASHTRA,2018-04-18,maharera
P50000001993,saiprakash appartment,shweta prakash ambhore,Buldana,Buldana,443001,MAHARASHTRA,2017-07-31,maharera
P52200000566,ANURON SEVEN,ANURON INFRASTRUCTURES,Nagar,Ahmednagar,414003,MAHARASHTRA,2017-07-18,maharera
P52700000048,Rambaug,Suryanshu Properties Pvt Ltd,Phaltan,Satara,415523,MAHARASHTRA,2017-06-18,maharera
P52100002664,NAVALAKHA RITZ,NAVALAKHA CHORADIYA ASSOCIATES,Haveli,Pune,411014,MAHARASHTRA,2018-06-22,maharera
P50500009639,Shiv Elite Phase I,Om Shivam Buildcon Private Limited,Nagpur (Rural),Nagpur,441108,MAHARASHTRA,2017-08-22,maharera
P51100015354,RAGHUNATH NAGAR,R K BUILDERS & DEVELOPERS,Nanded,Nanded,431601,MAHARASHTRA,2018-02-20,maharera
