building_id,canonical_name,alias_added,reason,rule_triggered,confidence,resolved_by,timestamp
176,Aashirwad,Aashirwad,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
220,Aston,Aston,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
286,DLH Leo,DLH Leo,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
297,Deep Tower,Deep Tower,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
363,Green Tower,Green Tower,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
432,Landmark,Landmark,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
467,Madhuban Tower,Madhuban Tower,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
471,Mahalaxmi Tower,Mahalaxmi Tower,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
478,Manju Tower,Manju Tower,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
541,Olympic Tower,Olympic Tower,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
550,Palash Tower,Palash Tower,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
601,Raheja Classique,Raheja Classique,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
601,Raheja Classique,Raheja Classique,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
644,Rushi Tower,Rushi Tower,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
17,Lumiere,Lumiere,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
763,Transcon Triumph -,Transcon Triumph -,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
793,Vinit Tower,Vinit Tower,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
809,Woodland CHS,Woodland CHS,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
842,Continental Tower,Continental Tower,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
842,Continental Tower,Continental Tower,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
847,Dheeraj Swapna,Dheeraj Swapna,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
1229,Rustomjee Orva,Rustomjee Orva,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
1078,Jackers,Jackers,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
1208,Presidential,Presidential,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
1495,Sunshine Apartment,Sunshine Apartment,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
1652,Kohinoor Square,Kohinoor Square,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
1685,Baya Park,Baya Park,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
1770,Wadhwa,Wadhwa,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
1913,Harmony CHS,Harmony CHS,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
1962,Sunteck City Avenue,Sunteck City Avenue,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
1962,Sunteck City Avenue,Sunteck City Avenue,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
2171,Kalpataru,Kalpataru,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
2228,Breezy Corner,Breezy Corner,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
1098,Kalpana,Kalpana,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
2527,Sagar Apartment,Sagar Apartment,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
2702,Mermit Tower,Mermit Tower,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
2716,Phoenix Tower,Phoenix Tower,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
2663,Auro,Auro,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
2666,Baya Central,Baya Central,Identical fingerprint (same name+dev+area+coords after rules),Fingerprint match,100,AI,2026-06-26
