project_id,rera_no,project_name,developer_name,building_ids,location,area,district,pincode,resolution_confidence,resolution_method,last_modified
1,P50500000005,GREEN CITY 3,GREEN SPACE INFRA VENTURES,,Nagpur (Rural),Nagpur (Rural),Nagpur,441108,0.8,rera_no_buildings:1,2017-05-20
2,P51700000002,UNNATHI WOODS PHASE VII A,UNNATHI ESTATES,,Thane,Thane,Thane,400615,0.8,rera_no_buildings:2,2018-04-12
3,P51700000001,MAYFAIR VISHWARAJA,MAYFAIR HOUSING PRIVATE LIMITED,,Kalyan,Kalyan,Thane,421605,0.8,rera_no_buildings:3,2017-05-09
4,P51700002065,MERIDIAN MYSTIC,MANOJ  AWASTHI,,Thane,Thane,Thane,400706,0.8,rera_no_buildings:4,2019-01-04
5,P51500011537,SAINATHVILLA Phase II,Sainath Builders & Developers,,Aurangabad,Aurangabad,Aurangabad,431001,0.8,rera_no_buildings:5,2017-08-31
6,P52100012200,NANDHA RESIDENCY,AMIT C THAKUR,2488,Haveli,Haveli,Pune,412202,0.9,project:6,2017-09-01
7,P50500002280,SHIVAM PARK,SAMBHAV INFRA,,Nagpur (Rural),Nagpur (Rural),Nagpur,441108,0.8,rera_no_buildings:7,2017-07-31
8,P51800002451,VIKI HEIGHTS,Divij Developers,2014,Kurla,Kurla,Mumbai Suburban,400077,0.9,project:8,2019-02-01
9,P50500000348,ROYAL RESIDENCY,DESIGN DEVELOPERS PRIVATE LIMITED,2646,Nagpur (Urban),Nagpur (Urban),Nagpur,440015,1.0,exact,2017-07-15
10,P52300000176,SHIVNERI APPARTMENT,SHIVNERI DEVELOPERS ASHTI,3475,Ashti,Ashti,Beed,414203,0.9,project:10,2017-07-10
11,P50500001314,Diamond One,Diamond Estate Builders & Developers,,Nagpur (Urban),Nagpur (Urban),Nagpur,440010,0.8,rera_no_buildings:11,2017-07-27
12,P51500001870,AANAND SHILP APARTMENT,Shilp Constructions,2344,Aurangabad,Aurangabad,Aurangabad,431001,0.9,project:12,2017-07-29
13,P52100006356,Immense Heights,Immense Realty,,Mawal,Mawal,Pune,410506,0.8,rera_no_buildings:13,2017-08-14
14,P51700001636,SAMRIDDHI,A G SUPERSTRUCTURES PVT LTD,1568,Thane,Thane,Thane,401105,0.9,project:14,2021-09-09
15,P51600000394,Sharvari Serenity,SHARVARI REALTORS LLP,,Igatpuri,Igatpuri,Nashik,422403,0.8,rera_no_buildings:15,2021-11-02
16,P52400000234,Dwarka Nagari,Dwarka Nagari,,Latur,Latur,Latur,413512,0.8,rera_no_buildings:16,2017-07-10
17,P51800001311,Shri Krishna Kunj CHS Ltd,Ellora Developers,,Andheri,Andheri,Mumbai Suburban,400060,0.8,rera_no_buildings:17,2017-07-27
18,P52100001149,THE COSMOPOLIS,VISHAL SANJAY GALANDE,267,Haveli,Haveli,Pune,411028,0.95,normalized,2020-06-17
19,P50500006086,PLATINUM GREEN,UNNATI HOMES INFRACON,,Nagpur (Urban),Nagpur (Urban),Nagpur,440036,0.8,rera_no_buildings:19,2018-04-18
20,P50000001993,saiprakash appartment,shweta prakash ambhore,,Buldana,Buldana,Buldana,443001,0.8,rera_no_buildings:20,2017-07-31
21,P52200000566,ANURON SEVEN,ANURON INFRASTRUCTURES,,Nagar,Nagar,Ahmednagar,414003,0.8,rera_no_buildings:21,2017-07-18
22,P52700000048,Rambaug,Suryanshu Properties Pvt Ltd,,Phaltan,Phaltan,Satara,415523,0.8,rera_no_buildings:22,2017-06-18
23,P52100002664,NAVALAKHA RITZ,NAVALAKHA CHORADIYA ASSOCIATES,,Haveli,Haveli,Pune,411014,0.8,rera_no_buildings:23,2018-06-22
