building,location,bhk,sqft,furnishing,price,listed_date,source
Shakti Enclave,Malad West,3 BHK,1018 sqft,Semi-Furnished,₹80000,Listed 25 Jun 2026 · 11:02 PM,propi_in
Eddie House,Peddar Road,4 BHK,3750 sqft,Semi-Furnished,₹8 L,Listed 25 Jun 2026 · 11:01 PM,propi_in
Raj Infinia,Malad West,3 BHK,1015 sqft,Semi-Furnished,₹80000,Listed 25 Jun 2026 · 10:59 PM,propi_in
Cadel Plaza,Prabhadevi,2 BHK,775 sqft,Fully Furnished,₹2 L,Listed 25 Jun 2026 · 10:29 PM,propi_in
Lodha Marquise,Worli,4 BHK,1600 sqft,Unfurnished,₹9.00 Cr,Listed 25 Jun 2026 · 10:28 PM,propi_in
Lodha Trump Tower,Worli,5 BHK,2815 sqft,Semi-Furnished,₹23.00 Cr,Listed 25 Jun 2026 · 10:28 PM,propi_in
India Bulls Sky Forest,Lower Parel,3 BHK,1650 sqft,Semi-Furnished,₹4 L,Listed 25 Jun 2026 · 10:28 PM,propi_in
Lodha Aria,Parel,3 BHK,1550 sqft,Semi-Furnished,₹2 L,Listed 25 Jun 2026 · 10:28 PM,propi_in
Inez Tower,Mahim,3 BHK,1400 sqft,Semi-Furnished,₹4.60 Cr,Listed 25 Jun 2026 · 10:27 PM,propi_in
Rustomjee Crown,Prabhadevi,4 BHK,2548 sqft,,₹18.00 Cr,Listed 25 Jun 2026 · 10:25 PM,propi_in
Link Garden Tower,Andheri West,3 BHK,1000 sqft,Semi-Furnished,₹1 L,Listed 25 Jun 2026 · 09:03 PM,propi_in
Azumi,Khar West,4 BHK,1788 sqft,Semi-Furnished,₹4 L,Listed 25 Jun 2026 · 08:31 PM,propi_in
Casa Bianca,Santacruz West,3 BHK,1050 sqft,Semi-Furnished,₹6.50 Cr,Listed 25 Jun 2026 · 08:30 PM,propi_in
Lodha World Crest,Lower Parel,4 BHK,2309 sqft,Fully Furnished,₹14.00 Cr,Listed 25 Jun 2026 · 08:29 PM,propi_in
Dosti Flamingos,Parel,2 BHK,710 sqft,Semi-Furnished,₹3.00 Cr,Listed 25 Jun 2026 · 08:29 PM,propi_in
Chandelier Court,Worli,3 BHK,,Fully Furnished,₹2 L,Listed 25 Jun 2026 · 08:29 PM,propi_in
Omkar Belleza,Dadar West,3 BHK,1350 sqft,Fully Furnished,₹6.00 Cr,Listed 25 Jun 2026 · 08:29 PM,propi_in
Chaitanya Tower,Prabhadevi,2 BHK,850 sqft,Semi-Furnished,₹6.50 Cr,Listed 25 Jun 2026 · 08:29 PM,propi_in
Eden Hall,Worli,2 BHK,1100 sqft,Semi-Furnished,₹2 L,Listed 25 Jun 2026 · 08:28 PM,propi_in
Trump Tower,Worli,3 BHK,1314 sqft,Fully Furnished,₹11.00 Cr,Listed 25 Jun 2026 · 08:28 PM,propi_in
Madhuban Apartments,Worli,1 BHK,660 sqft,Fully Furnished,₹1 L,Listed 25 Jun 2026 · 08:28 PM,propi_in
Lodha World Crest,Lower Parel,4 BHK,2300 sqft,Unfurnished,₹17.00 Cr,Listed 25 Jun 2026 · 08:28 PM,propi_in
Lodha Grandeur,Prabhadevi,3 BHK,1300 sqft,Semi-Furnished,₹7.00 Cr,Listed 25 Jun 2026 · 08:28 PM,propi_in
Runwal Reserve,Worli,3 BHK,1475 sqft,Semi-Furnished,₹7.60 Cr,Listed 25 Jun 2026 · 08:28 PM,propi_in
Trump Tower,Worli,5 BHK,3000 sqft,Unfurnished,₹22.00 Cr,Listed 25 Jun 2026 · 08:28 PM,propi_in
Inez Tower,Mahim,2 BHK,,Semi-Furnished,₹3.40 Cr,Listed 25 Jun 2026 · 08:28 PM,propi_in
Kalpataru Horizon,Worli,3 BHK,1540 sqft,Semi-Furnished,₹14.00 Cr,Listed 25 Jun 2026 · 08:28 PM,propi_in
Marathon Era,Lower Parel,3 BHK,,Fully Furnished,₹5.75 Cr,Listed 25 Jun 2026 · 08:28 PM,propi_in
Runwal Reserve,Worli,3.5 BHK,1530 sqft,Semi-Furnished,₹10.50 Cr,Listed 25 Jun 2026 · 08:27 PM,propi_in
Rustomjee Crown,Prabhadevi,5 BHK,3025 sqft,Semi-Furnished,₹22.00 Cr,Listed 25 Jun 2026 · 08:27 PM,propi_in
