rera_no,project_id,project_name,building_ids,building_id,confidence
P50500000005,1,GREEN CITY 3,,0,0.8
P51700000002,2,UNNATHI WOODS PHASE VII A,,0,0.8
P51700000001,3,MAYFAIR VISHWARAJA,,0,0.8
P51700002065,4,MERIDIAN MYSTIC,,0,0.8
P51500011537,5,SAINATHVILLA Phase II,,0,0.8
P52100012200,6,NANDHA RESIDENCY,2488,2488,0.9
P50500002280,7,SHIVAM PARK,,0,0.8
P51800002451,8,VIKI HEIGHTS,2014,2014,0.9
P50500000348,9,ROYAL RESIDENCY,2646,2646,1.0
P52300000176,10,SHIVNERI APPARTMENT,3475,3475,0.9
P50500001314,11,Diamond One,,0,0.8
P51500001870,12,AANAND SHILP APARTMENT,2344,2344,0.9
P52100006356,13,Immense Heights,,0,0.8
P51700001636,14,SAMRIDDHI,1568,1568,0.9
P51600000394,15,Sharvari Serenity,,0,0.8
P52400000234,16,Dwarka Nagari,,0,0.8
P51800001311,17,Shri Krishna Kunj CHS Ltd,,0,0.8
P52100001149,18,THE COSMOPOLIS,267,267,0.95
P50500006086,19,PLATINUM GREEN,,0,0.8
P50000001993,20,saiprakash appartment,,0,0.8
P52200000566,21,ANURON SEVEN,,0,0.8
P52700000048,22,Rambaug,,0,0.8
P52100002664,23,NAVALAKHA RITZ,,0,0.8
P50500009639,24,Shiv Elite Phase I,,0,0.8
P51100015354,25,RAGHUNATH NAGAR,,0,0.8
P51900002789,26,Four Seasons Private Residences Phase - 1,4215,4215,0.9
P50300000544,27,GOVINDA SKY,,0,0.8
P50500014329,28,SDPL Aashray Dabha,,0,0.8
P50200002611,29,RIDDHI SIDDHI,2620,2620,1.0
P52100001864,30,The Crown Greens,,0,0.8
P51600000085,31,ANANDVANN,,0,0.8
P51600008182,32,Laxmi Chayya,,0,0.8
P52800004038,33,KOHINOOR PRESTIGE,,0,0.8
P51500002341,34,FLORENZA VILLAS,,0,0.8
P50500000854,35,Gokul,,0,0.8
P49900000069,36,Vasukamal Samruddhi,,0,0.8
P51600001180,37,OM APARTMENT,2616,2616,1.0
P51700005959,38,nakshatra,,0,0.8
P51800000052,39,DGS HEIGHTS,3384,3384,0.82
P50100000101,40,NISARG GARDEN,,0,0.8
P52100002029,41,Dwarika Nagari,,0,0.8
P50500012638,42,Construction of 14 Rowhouses at Waddhamna Nagpur,,0,0.8
P49900000128,43,RADHA RAMAN APARTMENT,606,606,0.9
P50100000435,44,SPRING DIVISHA,,0,0.8
P50500007042,45,Sumangal Vihar,,0,0.8
P51700002939,46,K T PREMIA,,0,0.8
P52100000783,47,BELLA VITA,3839,3839,0.9
P51700000644,48,THANEKAR PARKLAND,,0,0.8
P50900000159,49,"Site No.124, Datala, New Chandrapur",,0,0.8
P51500000594,50,RAAJ SWAPNAPURTI,2981,2981,0.9
