candidate_a_id,candidate_a_name,candidate_a_area,candidate_b_id,candidate_b_name,candidate_b_area,confidence_score,evidence,recommended_action,status
,Kalpataru Elitus,Mulund West,,Kalpataru Elitus Mulund West,Mulund West,88,✓ High name similarity 90%; ✓ Same area: Mulund West; ✓ Same developer: Kalpataru Group; ~ Nearby (0.6km),flag,pending
,Pushpa Vatika,Santacruz West,,"Pushpa Vatika, Poddar",Santacruz West,88,✓ High name similarity 90%; ✓ Same area: Santacruz West; ~ Partial developer info; ✓ Same coordinates (0.0km apart),flag,pending
,Remi Commercio,Andheri West,,Remi Commerco,Andheri West,88,✓ High name similarity 96%; ✓ Same area: Andheri West; ✓ Same developer: Remi Group; ~ Nearby (1.4km),flag,pending
,Castle Rock,Powai,,Castle Rock Hiranandani,Powai,88,✓ High name similarity 90%; ✓ Same area: Powai; ~ Partial developer info; ✓ Same coordinates (0.0km apart),flag,pending
,Highland,Powai,,Hiranandani Highland,Powai,88,✓ High name similarity 90%; ✓ Same area: Powai; ~ Partial developer info; ✓ Same coordinates (0.0km apart),flag,pending
,Marathon Next Gen Era,Lower Parel,,Marathon Next Gen Innova,Lower Parel,88,~ Moderate name similarity 84%; ✓ Same area: Lower Parel; ✓ Same developer: Marathon Group; ✓ Same coordinates (0.0km apart),flag,pending
,Oberai Sky City,Borivali East,,Oberoi Sky City,Borivali East,88,✓ High name similarity 93%; ✓ Same area: Borivali East; ~ Partial developer info; ✓ Same coordinates (0.0km apart),flag,pending
,Oberoi Esquire,Goregaon East,,Oberoi Exquisite,Goregaon East,88,~ Moderate name similarity 80%; ✓ Same area: Goregaon East; ✓ Same developer: Oberoi Realty; ✓ Same coordinates (0.0km apart),flag,pending
,Oberoi Enigma,Mulund West,,Oberoi Eternia,Mulund West,88,~ Moderate name similarity 81%; ✓ Same area: Mulund West; ✓ Same developer: Oberoi Realty; ✓ Same coordinates (0.0km apart),flag,pending
,Om Apartment,Andheri West,,Omkar CHS,Andheri West,88,✓ High name similarity 90%; ✓ Same area: Andheri West; ~ Partial developer info; ✓ Same coordinates (0.0km apart),flag,pending
,Park,Worli,,"Park, Lodha",Worli,88,✓ High name similarity 90%; ✓ Same area: Worli; ~ Partial developer info; ✓ Same coordinates (0.0km apart),flag,pending
,Peninsula Park,Andheri West,,Peninsula Plaza,Andheri West,88,~ Moderate name similarity 83%; ✓ Same area: Andheri West; ✓ Same developer: Peninsula Group; ✓ Same coordinates (0.0km apart),flag,pending
,Peninsula Plaza,Andheri West,,Peninsular Park,Andheri West,88,~ Moderate name similarity 80%; ✓ Same area: Andheri West; ✓ Same developer: Peninsula Group; ✓ Same coordinates (0.0km apart),flag,pending
,Piramal Aarav,Byculla,,Piramal Aranya,Byculla,88,~ Moderate name similarity 81%; ✓ Same area: Byculla; ✓ Same developer: Piramal Realty; ✓ Same coordinates (0.0km apart),flag,pending
