observation_id,building_id,observation_type,source,observed_at,payload_json,confidence,source_reference,created_at,raw_building_name,raw_area
3952d299-918e-4fb1-b624-05939e73c364,0,MAHARERA_PROJECT,MAHARERA,2017-05-20,"{""project_id"": 1, ""rera_number"": ""P50500000005"", ""project_name"": ""GREEN CITY 3"", ""developer_name"": ""GREEN SPACE INFRA VENTURES"", ""location"": ""Nagpur (Rural)"", ""district"": ""Nagpur"", ""pincode"": ""441108"", ""area"": ""Nagpur (Rural)"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:1""}",0.0,P50500000005,2026-06-25T19:23:13.519089Z,,Nagpur (Rural)
064424ab-5c2f-4631-8c59-429c4f351c72,0,MAHARERA_PROJECT,MAHARERA,2018-04-12,"{""project_id"": 2, ""rera_number"": ""P51700000002"", ""project_name"": ""UNNATHI WOODS PHASE VII A"", ""developer_name"": ""UNNATHI ESTATES"", ""location"": ""Thane"", ""district"": ""Thane"", ""pincode"": ""400615"", ""area"": ""Thane"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:2""}",0.0,P51700000002,2026-06-25T19:23:13.693047Z,,Thane
4f9c4538-718f-452a-84be-d1766750177c,0,MAHARERA_PROJECT,MAHARERA,2017-05-09,"{""project_id"": 3, ""rera_number"": ""P51700000001"", ""project_name"": ""MAYFAIR VISHWARAJA"", ""developer_name"": ""MAYFAIR HOUSING PRIVATE LIMITED"", ""location"": ""Kalyan"", ""district"": ""Thane"", ""pincode"": ""421605"", ""area"": ""Kalyan"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:3""}",0.0,P51700000001,2026-06-25T19:23:13.838737Z,,Kalyan
b5452d8d-545a-4042-9da8-520952ef6dc2,0,MAHARERA_PROJECT,MAHARERA,2019-01-04,"{""project_id"": 4, ""rera_number"": ""P51700002065"", ""project_name"": ""MERIDIAN MYSTIC"", ""developer_name"": ""MANOJ  AWASTHI"", ""location"": ""Thane"", ""district"": ""Thane"", ""pincode"": ""400706"", ""area"": ""Thane"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:4""}",0.0,P51700002065,2026-06-25T19:23:13.966665Z,,Thane
890b3ba5-28e3-4af3-be8c-174332367938,0,MAHARERA_PROJECT,MAHARERA,2017-08-31,"{""project_id"": 5, ""rera_number"": ""P51500011537"", ""project_name"": ""SAINATHVILLA Phase II"", ""developer_name"": ""Sainath Builders & Developers"", ""location"": ""Aurangabad"", ""district"": ""Aurangabad"", ""pincode"": ""431001"", ""area"": ""Aurangabad"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:5""}",0.0,P51500011537,2026-06-25T19:23:14.129475Z,,Aurangabad
165d33bb-c825-4616-b67b-7ba7216670ef,0,MAHARERA_PROJECT,MAHARERA,2017-07-31,"{""project_id"": 7, ""rera_number"": ""P50500002280"", ""project_name"": ""SHIVAM PARK"", ""developer_name"": ""SAMBHAV INFRA"", ""location"": ""Nagpur (Rural)"", ""district"": ""Nagpur"", ""pincode"": ""441108"", ""area"": ""Nagpur (Rural)"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:7""}",0.0,P50500002280,2026-06-25T19:23:14.243692Z,,Nagpur (Rural)
c03eee8c-b0e6-4727-bffd-0d49525c7d34,0,MAHARERA_PROJECT,MAHARERA,2017-07-27,"{""project_id"": 11, ""rera_number"": ""P50500001314"", ""project_name"": ""Diamond One"", ""developer_name"": ""Diamond Estate Builders & Developers"", ""location"": ""Nagpur (Urban)"", ""district"": ""Nagpur"", ""pincode"": ""440010"", ""area"": ""Nagpur (Urban)"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:11""}",0.0,P50500001314,2026-06-25T19:23:14.359447Z,,Nagpur (Urban)
4199dad3-8038-464f-a6e8-97b4f5e44d1f,0,MAHARERA_PROJECT,MAHARERA,2017-08-14,"{""project_id"": 13, ""rera_number"": ""P52100006356"", ""project_name"": ""Immense Heights"", ""developer_name"": ""Immense Realty"", ""location"": ""Mawal"", ""district"": ""Pune"", ""pincode"": ""410506"", ""area"": ""Mawal"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:13""}",0.0,P52100006356,2026-06-25T19:23:14.482008Z,,Mawal
0ecac5cb-5b4f-491f-a6c1-5b6591f52055,0,MAHARERA_PROJECT,MAHARERA,2021-11-02,"{""project_id"": 15, ""rera_number"": ""P51600000394"", ""project_name"": ""Sharvari Serenity"", ""developer_name"": ""SHARVARI REALTORS LLP"", ""location"": ""Igatpuri"", ""district"": ""Nashik"", ""pincode"": ""422403"", ""area"": ""Igatpuri"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:15""}",0.0,P51600000394,2026-06-25T19:23:14.626091Z,,Igatpuri
11b0e40c-c2ef-48a4-869a-2833c53268d4,0,MAHARERA_PROJECT,MAHARERA,2017-07-10,"{""project_id"": 16, ""rera_number"": ""P52400000234"", ""project_name"": ""Dwarka Nagari"", ""developer_name"": ""Dwarka Nagari"", ""location"": ""Latur"", ""district"": ""Latur"", ""pincode"": ""413512"", ""area"": ""Latur"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:16""}",0.0,P52400000234,2026-06-25T19:23:14.749676Z,,Latur
d17e1385-dd28-4db4-b625-308bbdfb4be3,0,MAHARERA_PROJECT,MAHARERA,2017-07-27,"{""project_id"": 17, ""rera_number"": ""P51800001311"", ""project_name"": ""Shri Krishna Kunj CHS Ltd"", ""developer_name"": ""Ellora Developers"", ""location"": ""Andheri"", ""district"": ""Mumbai Suburban"", ""pincode"": ""400060"", ""area"": ""Andheri"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:17""}",0.0,P51800001311,2026-06-25T19:23:14.923835Z,,Andheri
37f6e47f-cb3b-4f91-a3d9-f4d9775cfe51,0,MAHARERA_PROJECT,MAHARERA,2018-04-18,"{""project_id"": 19, ""rera_number"": ""P50500006086"", ""project_name"": ""PLATINUM GREEN"", ""developer_name"": ""UNNATI HOMES INFRACON"", ""location"": ""Nagpur (Urban)"", ""district"": ""Nagpur"", ""pincode"": ""440036"", ""area"": ""Nagpur (Urban)"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:19""}",0.0,P50500006086,2026-06-25T19:23:15.054550Z,,Nagpur (Urban)
57ec66e2-55e5-41d9-b56d-07d09ff0a51f,0,MAHARERA_PROJECT,MAHARERA,2017-07-31,"{""project_id"": 20, ""rera_number"": ""P50000001993"", ""project_name"": ""saiprakash appartment"", ""developer_name"": ""shweta prakash ambhore"", ""location"": ""Buldana"", ""district"": ""Buldana"", ""pincode"": ""443001"", ""area"": ""Buldana"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:20""}",0.0,P50000001993,2026-06-25T19:23:15.216833Z,,Buldana
128c867b-b9f0-48b8-8fdf-7bf618a89fca,0,MAHARERA_PROJECT,MAHARERA,2017-07-18,"{""project_id"": 21, ""rera_number"": ""P52200000566"", ""project_name"": ""ANURON SEVEN"", ""developer_name"": ""ANURON INFRASTRUCTURES"", ""location"": ""Nagar"", ""district"": ""Ahmednagar"", ""pincode"": ""414003"", ""area"": ""Nagar"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:21""}",0.0,P52200000566,2026-06-25T19:23:15.335174Z,,Nagar
0bef1b60-9687-4788-8ade-e5476615243d,0,MAHARERA_PROJECT,MAHARERA,2017-06-18,"{""project_id"": 22, ""rera_number"": ""P52700000048"", ""project_name"": ""Rambaug"", ""developer_name"": ""Suryanshu Properties Pvt Ltd"", ""location"": ""Phaltan"", ""district"": ""Satara"", ""pincode"": ""415523"", ""area"": ""Phaltan"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:22""}",0.0,P52700000048,2026-06-25T19:23:15.423674Z,,Phaltan
f34acc70-4c4e-4a22-a2df-9a18668a83df,0,MAHARERA_PROJECT,MAHARERA,2018-06-22,"{""project_id"": 23, ""rera_number"": ""P52100002664"", ""project_name"": ""NAVALAKHA RITZ"", ""developer_name"": ""NAVALAKHA CHORADIYA ASSOCIATES"", ""location"": ""Haveli"", ""district"": ""Pune"", ""pincode"": ""411014"", ""area"": ""Haveli"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:23""}",0.0,P52100002664,2026-06-25T19:23:15.550734Z,,Haveli
389c82ca-abf1-40c3-9543-84ff98e049b3,0,MAHARERA_PROJECT,MAHARERA,2017-08-22,"{""project_id"": 24, ""rera_number"": ""P50500009639"", ""project_name"": ""Shiv Elite Phase I"", ""developer_name"": ""Om Shivam Buildcon Private Limited"", ""location"": ""Nagpur (Rural)"", ""district"": ""Nagpur"", ""pincode"": ""441108"", ""area"": ""Nagpur (Rural)"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:24""}",0.0,P50500009639,2026-06-25T19:23:15.698502Z,,Nagpur (Rural)
baebece1-3531-456d-9e7d-518015dc3964,0,MAHARERA_PROJECT,MAHARERA,2018-02-20,"{""project_id"": 25, ""rera_number"": ""P51100015354"", ""project_name"": ""RAGHUNATH NAGAR"", ""developer_name"": ""R K BUILDERS & DEVELOPERS"", ""location"": ""Nanded"", ""district"": ""Nanded"", ""pincode"": ""431601"", ""area"": ""Nanded"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:25""}",0.0,P51100015354,2026-06-25T19:23:15.831378Z,,Nanded
54c0f12a-3021-45ae-816d-6b4a022751ae,0,MAHARERA_PROJECT,MAHARERA,2017-07-18,"{""project_id"": 27, ""rera_number"": ""P50300000544"", ""project_name"": ""GOVINDA SKY"", ""developer_name"": ""Vijay Nanakram Talda"", ""location"": ""Amravati"", ""district"": ""Amravati"", ""pincode"": ""444606"", ""area"": ""Amravati"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:27""}",0.0,P50300000544,2026-06-25T19:23:15.942039Z,,Amravati
fd9423db-564b-4e6d-b3b4-5322d66843bf,0,MAHARERA_PROJECT,MAHARERA,2017-11-23,"{""project_id"": 28, ""rera_number"": ""P50500014329"", ""project_name"": ""SDPL Aashray Dabha"", ""developer_name"": ""SANDEEP DWELLERS PVT. LTD."", ""location"": ""Nagpur (Urban)"", ""district"": ""Nagpur"", ""pincode"": ""440023"", ""area"": ""Nagpur (Urban)"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:28""}",0.0,P50500014329,2026-06-25T19:23:16.083949Z,,Nagpur (Urban)
019688d4-56ad-4d52-92c0-9544fddbbb66,0,MAHARERA_PROJECT,MAHARERA,2018-09-28,"{""project_id"": 30, ""rera_number"": ""P52100001864"", ""project_name"": ""The Crown Greens"", ""developer_name"": ""International Biotech Park Limited"", ""location"": ""Mulshi"", ""district"": ""Pune"", ""pincode"": ""411057"", ""area"": ""Mulshi"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:30""}",0.0,P52100001864,2026-06-25T19:23:16.219655Z,,Mulshi
c2545ead-911b-4b0d-91b3-b2074f422e29,0,MAHARERA_PROJECT,MAHARERA,2017-06-28,"{""project_id"": 31, ""rera_number"": ""P51600000085"", ""project_name"": ""ANANDVANN"", ""developer_name"": ""SARVPPRATHAM DEVELOPERS PVT. LTD."", ""location"": ""Igatpuri"", ""district"": ""Nashik"", ""pincode"": ""422403"", ""area"": ""Igatpuri"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:31""}",0.0,P51600000085,2026-06-25T19:23:16.317427Z,,Igatpuri
52b837a7-e7d1-4b60-9245-665b489e0de1,0,MAHARERA_PROJECT,MAHARERA,2021-09-09,"{""project_id"": 32, ""rera_number"": ""P51600008182"", ""project_name"": ""Laxmi Chayya"", ""developer_name"": ""Laxmikripa Developers"", ""location"": ""Nashik"", ""district"": ""Nashik"", ""pincode"": ""422004"", ""area"": ""Nashik"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:32""}",0.0,P51600008182,2026-06-25T19:23:16.436688Z,,Nashik
74e2bf53-d47e-4143-931c-1e224171a851,0,MAHARERA_PROJECT,MAHARERA,2017-08-07,"{""project_id"": 33, ""rera_number"": ""P52800004038"", ""project_name"": ""KOHINOOR PRESTIGE"", ""developer_name"": ""JAIN AND JAIN CONSTRUCTION COMPANY"", ""location"": ""Ratnagiri"", ""district"": ""Ratnagiri"", ""pincode"": ""415612"", ""area"": ""Ratnagiri"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:33""}",0.0,P52800004038,2026-06-25T19:23:16.576847Z,,Ratnagiri
982b545b-0467-408f-8728-20acd0ecd234,0,MAHARERA_PROJECT,MAHARERA,2021-09-09,"{""project_id"": 34, ""rera_number"": ""P51500002341"", ""project_name"": ""FLORENZA VILLAS"", ""developer_name"": ""Mahesh Vithalrao Labhshetwar"", ""location"": ""Aurangabad"", ""district"": ""Aurangabad"", ""pincode"": ""431005"", ""area"": ""Aurangabad"", ""building_ids"": """", ""resolution_confidence"": 0.8, ""resolution_method"": ""rera_no_buildings:34""}",0.0,P51500002341,2026-06-25T19:23:16.704417Z,,Aurangabad
